INCIDENTDATE,INCIDENTHOUR,INCIDENTLOCATION,INCIDENTNEIGHBORHOOD,INCIDENTHIERARCHYDESC,OFFENSES,X,Y
2022-09-13,21,"600 Block Penn Ave Pittsburgh, PA 15222",Central Business District,ROBBERY,3701 Robbery.,-80.0017928321911,40.4425929172081
2022-09-13,20,"900 Block E Carson St Pittsburgh, PA 15203",South Side Flats,TERRORISTIC THREATS,2706 Terroristic Threats.,-79.9897766845569,40.4286907064316
2022-09-08,19,"100 Block Frustum St Pittsburgh, PA 15204",Esplen,HARRASSMENT,2709(a)(3) Harassment No Legitimate Purpose / 5503(a)(3) DISORDERLY CONDUCT - OBSCENE LANG/GEST,,
2022-09-10,11,"800 Block N Negley Blvd Pittsburgh, PA 15206",Highland Park,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,-79.931149752904,40.4518393499468
2022-09-10,20,"Penn Brg & 24th St Pittsburgh, PA 15222",Strip District,FOUND PROPERTY,9489 Found Property,-79.9806606682505,40.453389008315
2022-09-10,22,"2000 Block Perrysville Ave Pittsburgh, PA 15214",Perry South,SIMPLE ASSAULT,2707.1 Discharge of a Firearm into Occupied Structure / 2705 Recklessly Endangering Another Person. / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another / 607.03 Discharging Firearm or Airgun,-80.0129531156989,40.4635542417622
2022-09-11,1,"40 Block S 15th St Pittsburgh, PA 15203",South Side Flats,PUBLIC DRUNKENESS,5505 Public Drunkenness,-79.9833699283429,40.4301268102469
2022-09-11,16,"400 Block Armandale St Pittsburgh, PA 15212",Central North Side,99,9134 Pedestrian Hit by Vehicle/Non-Reportable Accident,-80.0119053090494,40.4586243854703
2022-09-11,9,"2500 Block Chauncey Dr Pittsburgh, PA 15219",Bedford Dwellings,HARRASSMENT,2709(a) Harassment.,-79.9738397090324,40.4509833047534
2022-09-09,22,"Frankstown Ave & N Lang Ave Pittsburgh, PA 15208",Homewood North,AGRICULTURAL VANDALISM,"3309 Driving on Roadways Laned for Traffic. / 2705 Recklessly Endangering Another Person. / 5126 Flight to Avoid Apprehension, Trial or Punishment. / 1543 Driving While Operating Privilege is Suspended or Revoked. / 3334 Turning Movements and Required Signals. / 3736 Reckless Driving / 3733 Fleeing or Attempting to Elude Police Officer / 3714 Careless Driving",-79.8985316667264,40.4579137505913
2022-09-11,15,"5400 Block Kincaid St Pittsburgh, PA 15206",Garfield,SIMPLE ASSAULT,2701 Simple Assault. / 2709(a) Harassment. / 2902 Unlawful Restraint.,-79.9353858382071,40.4661383051318
2022-09-11,21,"100 Block Oakville Dr Pittsburgh, PA 15220",Banksville,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",-80.0414369686178,40.4173570276031
2022-09-12,11,"3100 Block Banksville Rd Pittsburgh, PA 15216",Banksville,RETSIL THEFT (SHOPLIFTING),"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise / 3925 Receiving Stolen Property. / 907 Possessing Instruments of Crime.",-80.0434542351477,40.4010772517516
2022-09-12,16,"2200 Block Sarah St Pittsburgh, PA 15203",South Side Flats,TERRORISTIC THREATS,2706 Terroristic Threats.,-79.9745994066805,40.4272550585301
2022-09-12,15,"5100 Block Dearborn St Pittsburgh, PA 15224",Garfield,THEFT,3921 Theft by Unlawful Taking or Disposition.,-79.9426742901114,40.4657249196241
2022-09-12,4,"7400 Block Idlewild St Pittsburgh, PA 15208",Homewood North,CRIM MISCHIEF,3304 Criminal Mischief.,-79.8915697772041,40.4571624023638
2022-09-12,9,"2200 Block Vodeli St Pittsburgh, PA 15216",Beechview,BURGLARY,3502 Burglary.,-80.0282979068314,40.4038002479089
2022-09-12,16,"2nd Ave & Hazelwood Ave Pittsburgh, PA 15207",Hazelwood,99,9999 9999 - (Misc. Incident): ,-79.9447270333924,40.4113206355459
2022-09-12,16,"600 Block Smithfield St Pittsburgh, PA 15222",Central Business District,RETSIL THEFT (SHOPLIFTING),"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise",-79.9974088316752,40.4415332222525
2022-09-10,18,"900 Block Mc Candless Ter Pittsburgh, PA 15201",Upper Lawrenceville,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,-79.9496677630316,40.4789036461789
2022-09-12,20,"1300 Block Pritchard St Pittsburgh, PA 15204",Sheraden,CRIMINAL HOMICIDE,2501 Criminal Homicide.,-80.0643864883862,40.4532939536934
2022-09-08,13,"1700 Block Chessland St Pittsburgh, PA 15205",Westwood,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,-80.0556296072289,40.4324235325846
2022-09-12,0,"1900 Block Westmont Ave Pittsburgh, PA 15210",Carrick,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,-79.9885380991633,40.3956590465257
2022-09-09,7,"2000 Block Centre Ave Pittsburgh, PA 15219",Crawford-Roberts,FOUND PROPERTY,9489 Found Property,-79.9799824053927,40.4435889103074
2022-09-13,13,"1100 Block Shadycrest Dr Pittsburgh, PA 15216",Beechview,CREDIT CARDS,4106 Access Device Fraud / 4912 Impersonating a Public Servant.,-80.0252863373626,40.4230420166942
2022-09-13,15,"100 Block Newburn Ave Pittsburgh, PA 15227",Carrick,IDENTITY THEFT,4120 Identity Theft,,
2022-09-13,15,"Sinton Ave & Spokane Ave Pittsburgh, PA 15210",Carrick,SIMPLE ASSAULT,2701(a)(3) Simple Assault - Attempts by Physical Menace  / 2707.2 Paintball Guns and Markers Carrying and Discharging,-79.9893958559828,40.3881761714573
2022-09-13,16,"1200 Block Beechwood Blvd Pittsburgh, PA 15206",Point Breeze,HARRASSMENT,2709 Harassment (Non-Specific),-79.919375869524,40.4483933436955
2022-09-13,15,"Crosstown Blvd & Liberty Brg Pittsburgh, PA 15219",Central Business District,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property / 3744 Duty to Give Information and Render Aid,-79.994482056925,40.436146393972
2022-09-07,10,"200 Block Ella St Pittsburgh, PA 15224",Bloomfield,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,-79.9505819620867,40.4646009215846
2022-09-12,18,"1300 Block Pritchard St Pittsburgh, PA 15204",Sheraden,99,8106 Shots Fired,-80.0643864883862,40.4532939536934
2022-09-13,16,"Beltzhoover Ave & Orchard Pl Pittsburgh, PA 15210",Beltzhoover,FOUND PROPERTY,9489 Found Property,-79.9972674238229,40.41789660382
2022-09-13,20,"East Ohio Trwy & N Canal St Pittsburgh, PA 15212",East Allegheny,RESIST ARREST/OTHER LAW ENFORC,5104 Resisting Arrest or Other Law Enforcement. / 5503 Disorderly Conduct. / 5101 Obstructing Admin. of Law  / 3544 Pedestrians Walking Along or on Highway. / 601.12 Interference with Official Duties,,
2022-09-13,20,"400 Block Oakland Ave Pittsburgh, PA 15213",Central Oakland,99,9999 9999 - (Misc. Incident): ,,
2022-09-13,20,"East Ohio St & N Canal St Pittsburgh, PA 15212",Allegheny Center,FIREARMS NOT TO BE CARRIED WO LICENSE,"6106 Firearms not to be Carried without a License. / 13(a)(31) Marijuana: Possession Small Amount / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 6501(a)(1) Scattering Rubbish; Any waste, dangerous or detrimental substance upon public property or waters / 3714 Careless Driving / 3111 Obedience to Traffic-Control Devices.",,
2022-09-13,22,"4700 Block Coleridge St Pittsburgh, PA 15201",Stanton Heights,99,8106 Shots Fired,-79.9367557127743,40.4802496101819
2022-09-13,23,"7700 Block Frankstown Ave Pittsburgh, PA 15221",Homewood North,CRIM MISCHIEF,3304 Criminal Mischief.,-79.888065010824,40.455518725726
2022-09-13,23,"500 Block N Homewood Ave Pittsburgh, PA 15208",Homewood South,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,,
2022-09-14,0,"West Liberty Ave & Brookside Ave Pittsburgh, PA 15226",Beechview,99,627.02(b)(i) Possessing a small amount of marijuana,-80.0155407612724,40.4104380578647
2022-09-11,21,"500 Block N Fairmount St Pittsburgh, PA 15206",Garfield,CRIM MISCHIEF,3304 Criminal Mischief.,-79.932113536715,40.4685469387342
2022-09-11,12,"5800 Block Forbes Ave Pittsburgh, PA 15217",Squirrel Hill North,HARRASSMENT,2709(a)(3) Harassment No Legitimate Purpose,-79.9228071341134,40.4379109890663
2022-09-12,7,"Crawford St & Foreside Pl Pittsburgh, PA 15219",Central Business District,CRIM MISCHIEF,3304 Criminal Mischief.,-79.9854259466468,40.4402341347004
2022-09-12,9,"Crawford St & Foreside Pl Pittsburgh, PA 15219",Central Business District,CRIM MISCHIEF,3304 Criminal Mischief.,-79.9854259466468,40.4402341347004
2022-09-12,7,"Crawford St & Foreside Pl Pittsburgh, PA 15219",Central Business District,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,-79.9854259466468,40.4402341347004
2022-09-12,10,"6400 Block Station St Pittsburgh, PA 15206",Homewood North,ENDANGER WELFARE OF CHILDREN,4304(a)(1) Endangering Welfare of Children.,-79.9187492267927,40.4610531897644
2022-09-12,12,"100 Block Courtland St Pittsburgh, PA 15207",Hazelwood,IDENTITY THEFT,4120 Identity Theft,-79.9464899608061,40.4051074260395
2022-09-12,11,"Greenfield Ave & Mc Caslin St Pittsburgh, PA 15217",Greenfield,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop. / 1501 Drivers Required to be Licensed. / 3714 Careless Driving,-79.9363380648372,40.4241779026457
2022-09-13,9,"100 Block Penfort St Pittsburgh, PA 15214",Northview Heights,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,,
2022-09-10,20,"200 Block Atwood St Pittsburgh, PA 15213",Central Oakland,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,,
2022-09-13,6,"3800 Block Bigelow Blvd Pittsburgh, PA 15213",Upper Hill,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),,
2022-09-10,20,"Liberty Blvd & 7th Ave Pittsburgh, PA 15222",Central Business District,THEFT FROM AUTO,3934 Theft from Vehicle,-79.9974877489295,40.4430659535175
2022-09-13,19,"Market Sq Pittsburgh, PA 15222",Central Business District,AGG-ASSAULT,2702 Aggravated Assault. / 5104 Resisting Arrest or Other Law Enforcement. / 5503 Disorderly Conduct. / 9501 Bench Warrant,-80.0028549265572,40.4409386637364
2022-09-09,15,Zone 4,,INDECENT EXPOSURE,3127 Indecent Exposure. / 9501 Bench Warrant / 601.16 Public Urination And Defecation,,
2022-09-09,22,"1400 Block Methyl St Pittsburgh, PA 15216",Beechview,CRIM MISCHIEF,3304 Criminal Mischief.,-80.0260254093828,40.4142213461431
2022-09-11,3,"7900 Block Frankstown Ave Pittsburgh, PA 15221",East Hills,THEFT,3921 Theft by Unlawful Taking or Disposition.,-79.8859093825126,40.4550804207096
2022-09-12,1,"800 Block Vinial St Pittsburgh, PA 15212",Troy Hill,TAMPER WITH/FAB PHYS EVIDENCE,4910 Tampering with or Fabricating Physical Evidence. / 5104 Resisting Arrest or Other Law Enforcement. / 13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession,-79.9917179937944,40.4570884959254
2022-09-13,16,"Madison Ave & Suismon St Pittsburgh, PA 15212",East Allegheny,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property / 3714 Careless Driving / 3310 Following Too Closely.,-79.9973547082826,40.4557668706325
2022-09-21,20,"5500 Block Black St Pittsburgh, PA 15206",Garfield,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,-79.9298807872568,40.4693956489147
2022-09-06,12,"2000 Block Centre Ave Pittsburgh, PA 15219",Crawford-Roberts,DRUG INVESTIGATION,9124 Drug Investigation,-79.9799824053927,40.4435889103074
2022-09-06,8,"200 Block Perrysville Ave Pittsburgh, PA 15212",Spring Garden,99,9999 9999 - (Misc. Incident): Downed Deer,-80.0128030265931,40.4633479566996
2022-09-09,12,"50 Block Barry St Pittsburgh, PA 15203",South Side Slopes,THEFT FROM AUTO,3934 Theft from Vehicle,-79.9701423562307,40.423293857152
2022-09-09,16,"500 Block Overbrook Blvd Pittsburgh, PA 15210",Overbrook,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,,
2022-09-09,16,"200 Block S Highland Ave Pittsburgh, PA 15232",Shadyside,HARRASSMENT,2709(a)(3) Harassment No Legitimate Purpose / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,-79.9252961319403,40.4587558589122
2022-09-09,17,"2000 Block Centre Ave Pittsburgh, PA 15219",Crawford-Roberts,99,9994 PFA Service,-79.9799824053927,40.4435889103074
2022-09-05,13,"500 Block Smithfield St Pittsburgh, PA 15222",Central Business District,ROBBERY,3701 Robbery.,-79.9981194717119,40.4403400419921
2022-09-05,12,"Sandusky St N & General Robinson St E Pittsburgh, PA 15212",Allegheny Center,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 9501 Bench Warrant,-80.0022802722935,40.4486346658672
2022-09-05,14,"1900 Block Wharton St Pittsburgh, PA 15203",South Side Flats,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,,
2022-09-07,18,"500 Block 1st Ave Pittsburgh, PA 15219",Central Business District,AIDED CASE,9497 Aided Case,-79.9976023406639,40.4358722846132
2022-09-07,19,"500 Block Larimer Ave Pittsburgh, PA 15206",Larimer,THEFT,"3921(a) Theft by Unlawful Taking or Disposition - Movable item / 6105(c)(9) Persons Not To Possess Use Manuf, Control Firearm",-79.9144842054984,40.4652992651856
2022-09-05,9,"3300 Block Ward St Pittsburgh, PA 15213",South Oakland,THEFT FROM AUTO,3934 Theft from Vehicle,-79.9549043321306,40.4331760065168
2022-09-08,10,"300 Block Arabella St Pittsburgh, PA 15210",Knoxville,99,9993 PFA Service with Weapons Supplement,-79.9930701306447,40.4121733612854
2022-09-05,3,"300 Block Stanhope St Pittsburgh, PA 15204",Esplen,ROBBERY,3701 Robbery. / 2705 Recklessly Endangering Another Person. / 2706 Terroristic Threats. / 2701(a)(3) Simple Assault - Attempts by Physical Menace  / 901 Criminal Attempt / 907 Possessing Instruments of Crime.,-80.0560987994453,40.4636361509949
2022-09-05,18,"Garrison Pl & Liberty Ave Pittsburgh, PA 15222",Central Business District,AGG-ASSAULT,2702 Aggravated Assault.,-79.9970406022857,40.4431831080777
2022-09-05,17,"2100 Block Rhine St NW Pittsburgh, PA 15212",Spring Hill-City View,99,2701(b)(1) Simple Assault - Fight or Scuffle Entered by Mutual Consent,-79.9936135100542,40.466590276641
2022-09-05,19,"2100 Block Arlington Ave Pittsburgh, PA 15210",Arlington,CRIM MISCHIEF,3304 Criminal Mischief.,-79.9772868505758,40.4176808511036
2022-09-05,22,"200 Block Charles St Pittsburgh, PA 15210",Knoxville,RESIST ARREST/OTHER LAW ENFORC,"5104 Resisting Arrest or Other Law Enforcement. / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 5506 Loitering and Prowling at Night / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION",-79.9907456942582,40.4164630770812
2022-09-09,18,"1400 Block Washington Blvd Pittsburgh, PA 15206",Highland Park,99,9999 9999 - (Misc. Incident): ,-79.9086166765251,40.4703056329977
2022-09-09,17,"300 Block 5th Ave Pittsburgh, PA 15222",Central Business District,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,-80.0002903704474,40.4405261905044
2022-09-09,22,"30 Block Bracey Ct Pittsburgh, PA 15221",East Hills,BURGLARY,3502 Burglary. / 3304 Criminal Mischief.,-79.8678097346589,40.4558755945676
2022-09-10,0,"300 Block Mc Kee Pl Pittsburgh, PA 15213",Central Oakland,BURGLARY,3502 Burglary. / 3304 Criminal Mischief.,-79.9577063860126,40.4383720870111
2022-09-10,1,"Berkshire Ave & Chelton Ave Pittsburgh, PA 15226",Brookline,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,-80.0108866900376,40.3859800731517
2022-09-10,7,"700 Block Junilla St Pittsburgh, PA 15219",Bedford Dwellings,SIMPLE ASSAULT,2706 Terroristic Threats. / 2701 Simple Assault.,-79.9725300492789,40.4496558836076
2022-09-10,11,"600 Block Smithfield St Pittsburgh, PA 15222",Central Business District,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,-79.9974088316752,40.4415332222525
2022-09-06,9,"1800 Block Forbes Pittsburgh, PA 15219",Central Business District,MISSING PERSONS (18+),9490 Missing Persons (18 and Over),-79.9813236408135,40.4373720231649
2022-09-06,18,"3700 Block Wind Gap Ave Pittsburgh, PA 15204",Windgap,99,9093 Indirect Criminal Contempt,,
2022-09-05,21,"1500 Block Crucible St Pittsburgh, PA 15204",Crafton Heights,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,,
2022-09-07,1,"Gertrude St & Tecumseh St Pittsburgh, PA 15207",Hazelwood,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,-79.9420898130585,40.4088994413631
2022-09-08,5,"7100 Block Apple Ave Pittsburgh, PA 15208",Homewood North,ACCIDENTAL FIRE,9018 Accidental Fire,,
2022-09-08,14,"500 Block Suffolk St Pittsburgh, PA 15214",Fineview,ETHNIC INTIMIDATION,2710 Ethnic Intimidation. / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,-80.0032618208481,40.4676189938685
2022-09-08,20,"200 Block Dunseith St Pittsburgh, PA 15213",West Oakland,99,9999 9999 - (Misc. Incident): ,-79.9648851008813,40.4404618937456
2022-09-08,21,"2100 Block Park Hill Dr Pittsburgh, PA 15221",East Hills,TERRORISTIC THREATS,2706 Terroristic Threats.,-79.8740675554629,40.4532044463424
2022-09-09,7,"2600 Block Tunnel Blvd Pittsburgh, PA 15203",South Side Flats,THEFT FROM AUTO,3934 Theft from Vehicle,,
2022-09-08,20,"1200 Block Paulson Ave Pittsburgh, PA 15206",Lincoln-Lemington-Belmar,THEFT FROM AUTO,3934 Theft from Vehicle,-79.9032400041143,40.4679352282181
2022-09-05,6,"2600 Block Perrysville Ave Pittsburgh, PA 15214",Perry South,99,3213 Prohibited Acts. / 3213 Prohibited Acts.,-80.0085176085982,40.4711339361923
2022-09-06,8,"1300 Block Geyer Ave Pittsburgh, PA 15212",Marshall-Shadeland,TERRORISTIC THREATS,2706 Terroristic Threats. / 3928 Unauthorized Use of Automobile and Other Vehicles.,-80.0319386332202,40.4748200823571
2022-09-06,10,"100 Block Rhine Pl Pittsburgh, PA 15212",Spring Hill-City View,99,9093 Indirect Criminal Contempt,-79.992041845149,40.4653596489546
2022-09-05,18,"600 Block 1st Ave Pittsburgh, PA 15219",Perry South,SIMPLE ASSAULT,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury",-79.9960409452176,40.4350395659105
2022-09-10,10,"7700 Block Tioga St Pittsburgh, PA 15221",Homewood South,99,9998 Overdose Other,-79.8900178671721,40.4512409659723
2022-09-10,11,"5000 Block Lytle St Pittsburgh, PA 15207",Hazelwood,TERRORISTIC THREATS,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 5104 Resisting Arrest or Other Law Enforcement. / 2706 Terroristic Threats. / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING / 4906 False Reports to Law Enforcement Authorities. / 5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE",-79.9462905737231,40.40788810883
2022-09-10,13,"3000 Block Vancroft St Pittsburgh, PA 15219",Upper Hill,CRIM MISCHIEF,3304 Criminal Mischief.,-79.9651567370951,40.4505348547522
2022-09-10,16,"Beechwood Blvd & Beechwood Blvd Ramp Pittsburgh, PA 15217",Squirrel Hill South,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property / 3744 Duty to Give Information and Render Aid,-79.9385829993878,40.4270658997545
2022-09-10,16,"Baum Blvd & S Negley Ave Pittsburgh, PA 15206",East Liberty,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,-79.9338226632142,40.4583596456005
2022-09-10,18,"10 Block Pride St Pittsburgh, PA 15219",Bluff,99,"3304(a)(1) CRIMINAL MISCHIEF-Prop Damage By Fire, Explosives, or Other Dangerous Means / 3301 Arson ",,
2022-09-10,19,"200 Block S Braddock Ave Pittsburgh, PA 15221",Point Breeze,MISSING PERSONS (18+),9490 Missing Persons (18 and Over),-79.8614462641364,40.4232148473678
2022-09-10,21,"3600 Block Parkview Ave Pittsburgh, PA 15213",Central Oakland,FOUND PROPERTY,9489 Found Property,-79.9517789211869,40.4360917110656
2022-09-10,17,"100 Block Art Rooney Ave Pittsburgh, PA 15212",North Shore,DISORDERLY CONDUCT,5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,-80.0157793215862,40.4467840308319
2022-09-10,22,"20 Block Elmore St Pittsburgh, PA 15219",Middle Hill,ACCIDENTAL FIRE,9018 Accidental Fire,-79.9756503190832,40.4427753845919
2022-09-10,23,"5200 Block Forbes Ave Pittsburgh, PA 15217",Squirrel Hill North,OBST ADM LAW /OTHR GOVT FUNCTN,5101 Obstructing Admin. of Law  / 6310.1 Selling Liquor to Minors / 5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,-79.9375860357027,40.4426360023344
2022-09-07,13,"800 Block E Warrington Ave Pittsburgh, PA 15210",Allentown,TERRORISTIC THREATS,2706 Terroristic Threats. / 2709(a)(4) Harassment Communicates Prohibited Acts / 2709.1 Stalking Conduct or Repeatedly Acts Including Follows,-79.9937050598573,40.4218022561637
2022-09-08,0,"300 Block JOHNSTON  Ave Pittsburgh, PA 15207",Squirrel Hill North,99,9999 9999 - (Misc. Incident): FALLEN TREE PROPERTY DAMAGE,-79.9396965824413,40.4064512575666
2022-09-08,1,"7th St & Fort Duquesne Blvd Pittsburgh, PA 15222",Central Business District,THEFT,3921 Theft by Unlawful Taking or Disposition.,-80.0008672588076,40.4446333846099
2022-09-05,9,"600 Block N Euclid Ave Pittsburgh, PA 15206",East Liberty,THEFT,3921 Theft by Unlawful Taking or Disposition.,-79.9243830702743,40.4677866135142
2022-09-06,15,"1400 Block Washington Blvd Pittsburgh, PA 15206",Highland Park,99,3742.1 Accident Involv. Death/Inj. While not Licensed / 3301 Driving on Right Side of Roadway. / 4581 Restraint Systems. / 3322 Vehicle Turning Left. / 1543 Driving While Operating Privilege is Suspended or Revoked.,-79.9086166765251,40.4703056329977
2022-09-06,14,"200 Block Edmond St Pittsburgh, PA 15224",Bloomfield,THEFT,3921 Theft by Unlawful Taking or Disposition.,-79.9474952417852,40.4651916290021
2022-09-06,15,"Penn Ave & N Highland Ave Pittsburgh, PA 15206",East Liberty,SIMPLE ASSAULT,2701 Simple Assault.,-79.9248213510388,40.4614220791187
2022-09-05,0,"4400 Block Penn Ave Pittsburgh, PA 15224",Bloomfield,SIMPLE ASSAULT,2701 Simple Assault. / 3743 Accidents Involving Damage to Attended Veh. or Property,-79.9532719125849,40.4659714218642
2022-09-06,10,"Penn Ave & N Negley Ave Pittsburgh, PA 15206",East Liberty,AGG-ASSAULT,2702 Aggravated Assault. / 2705 Recklessly Endangering Another Person. / 2709 Harassment (Non-Specific) / 4304(a)(1) Endangering Welfare of Children. / 3743 Accidents Involving Damage to Attended Veh. or Property / 3736 Reckless Driving,-79.9306639767724,40.4635121897205
2022-09-05,12,"200 Block Clover St Pittsburgh, PA 15210",Arlington,HARRASSMENT,2709(a) Harassment.,-79.9716158727632,40.4159458400318
2022-09-05,15,"100 Block S 20th St Pittsburgh, PA 15203",South Side Flats,BURGLARY,3502 Burglary.,-79.9777447431298,40.4276502009575
2022-09-09,13,"1600 Block Bedford Ave Pittsburgh, PA 15219",Crawford-Roberts,AIDED CASE,9497 Aided Case,-79.9872770446112,40.4444688746195
2022-09-09,19,"2300 Block Valera St Pittsburgh, PA 15210",Carrick,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,-79.9874099595446,40.387941860745
2022-09-09,10,"2200 Block Spring St Pittsburgh, PA 15210",Arlington,99,9999 9999 - (Misc. Incident): Sister/Sister Domestic,-79.9760258567796,40.4162545064803
