	id	Title	Zone	Description	Tag
43	44	Historical Allegheny Jail Museum	Downtown	A tour of the old jail cells at the historical Allegheny Jail. Only open Mondays with limited hours.	B
44	45	Maxo Vanka Murals	Millvale	Historical artwork at the St. Nicholas Catholic Church in Millvale.	B
45	46	Kelso Museum of Near Eastern Archaeology		East Liberty- A small museum at the Pittsburgh seminary about their excavations in the Holy Land as well as exhibits on the history of written language.	B
46	47	Soldiers and Sailors	Oakland	A modest museum dedicated to those who fought for the USA in the many wars.	B
47	48	Pittsburgh Glass Center	Garfield	Take a class to learn some glass working skills!	B
48	49	Chop, Wok & Talk	Friendship	A popular cooking class program in Pittsburgh.	B
49	50	CRAFT Chatham	Gibsonia	In-depth cooking classes at Chatham's Eden Hall campus.	B
50	51	Cooking Class at Market District	Robinson Township	Take a cooking class in the large kitchen at the Market District.	B
51	52	Saint Anthony Chapel	Troy Hill	Check out the largest collection of Catholic relics outside of the Vatican at this chapel.	B
52	53	Bayernhof Museum	O'Hara Township	Explore the unusual house of Charles Brown and hear one of the dozens upon dozens of self-playing musical instruments found inside!	B
53	54	Photo Antiquities Museum	North Side	A museum dedicated to the history of photography. Be sure to get an extra ticket for the rotating show as well.	B
54	55	PostNatural History Museum	Garfield	A small museum dedicated to all things genetically modified by man. Typically only open Sundays.	B
55	56	Pittsburgh Tattoo Art Museum	Shadyside	A small museum focusing on the early history of traditional American tattooing.	B
56	57	Steel City Jet Ski Rentals	Sharpsburg	Take a jet ski for a spin on the rivers!	B
57	58	Trundle Manor	Swissvale	The private residence of two local artisans who have a collection that is, well, rather odd.	B
58	59	Escape Room Pittsburgh	Greenfield and Homestead	Escape rooms in Pittsburgh with various themes.	B
59	60	Zone28	Harmarville	An entertainment complex with arcade games, laser tag, bowling, and more.	B
60	61	Living Dead Museum	Monroeville	A small museum in the Monroeville Mall dedicated to all things zombie lore, inspired by the Night of the Living Dead movie.	B
61	62	Troy Hill Art Houses	Troy Hill	Three private residences turned into art exhibits. What is inside each house? We're not allowed to tell you. Just book a tour for each respective property and go!	B
62	63	Kunzhaus	Troy Hill	A second art house by the folks behind La Hutte Royal.	B
63	64	Gallery Closed	Troy Hill	A 24/7 closed, 24/7 open art exhibit in Troy Hill that you can enjoy from the outside.	B
64	65	Arsenal Bowl	Lawrenceville	A popular bowling alley in Lawrenceville for playing, drinking, music, and more.	B
65	66	Topgolf Pittsburgh	Bridgeville	A driving range with an added game element added in via sensor-tagged golf balls.	B
66	67	Meadowcroft Rockshelter	Avella	An archaeological site that features nearly 20,000 of continuous human habitation found on-site.	B
67	68	Sporting Clays at Nemacolin	Laurel Highlands	Go clay pigeon shooting in Ohiopyle!	B
68	69	Kentuck Knob	Laurel Highlands	Tour a second popular Frank Lloyd Wright house near Fallingwater (in our top 10)	B
69	70	Polymath Park	Laurel Highlands	A complex featuring two Wright homes and two homes from a former student open for tours and rentals.	B
70	71	Bushy Run Battlefield	Laurel Highlands	The site of Pontiac's Rebellion in southwest PA.	B
71	72	Fort Ligonier	Laurel Highlands	A fort involved in the Forbes Campaign to retake what is now Pittsburgh in Ligonier.	B
72	73	Fort Necessity	Laurel Highlands	The site of George Washington's famous battle that started the Seven Years War.	B
73	74	Compass Inn Museum	Laurel Highlands	A historical 200+ year old inn that was once a stagecoach stop in the region.	B
74	75	Ligonier Valley Railroad Museum	Laurel Highlands	A restored rail road station that preserves the history of rail in the region.	B
75	76	The Lincoln Highway Experience	Laurel Highlands	A museum dedicated to the Lincoln Highway- the first coast-to-coast highway in the USA (1913).	B
76	77	Playthings Etc	Butler	A popular toy store where the employees will play with you with almost every toy!	B
77	78	Pinball PA	Aliquippa	A huge arcade with hundreds of classic games and pinball machines set to free play (charged by the hour).	B
78	79	Western Pennsylvania Model Railroad Museum	Gibsonia	A seasonal (Christmas) museum featuring model train cars showing Pittsburgh to Cumberland, Maryland, in the 1950s.	B
79	80	Harmony Museum	Harmony	A local heritage museum and log cabins in the historic town of Harmony.	B
80	81	Donora Smog Museum	Donora	A local heritage museum with exhibits for the Donora Smog disaster.	B
81	82	Westmoreland Museum of American Art	Greensburg	A free art museum in downtown Greensburgh with many themed galleries.	B
82	83	Saxonburg Museum	Saxonburg	A local heritage museum in Saxonburg with exhibits for John Roebling, inventor of a wire that was used in many famous bridges.	B
83	84	Latrobe Heritage Museum	Latrobe	A local heritage museum focusing on history of the city with exhibits for Mr. Rogers and Arnold Palmer- two natives.	B
84	85	Pennsylvania Trolley Museum	Washington	A museum focused on maintaining streetcars and trolleys.	B
85	86	Tour-Ed Mine & Museum	Tarentum	An educational coal mine featuring exhibits on how mining was done from the 1800s to present.	B
86	87	Kerr Museum	Oakmont	A mansion styled in the 1800s.	B
87	88	Hartwood Manor	Hampton Township	A mansion on the Hartwood Acres estate open for tours with prior appointment.	B
88	89	Large Scale Systems Museum	New Kensington	A museum dedicated to collecting and restoring antique computers.	B
89	90	Maridon Museum	Butler	A museum dedicated to East Asian art.	B
90	91	Rachel Carson Homestead	Springdale	The childhood home of Rachel Carson, a famed environmentalist from the region.	B
91	92	Depreciation Lands	Allison Park	A colonial park showcasing what life was like in early settlement days.	B
92	93	Canton Avenue	Beechview	The steepest public street in the USA, and by some measurements, the world.	C
93	94	Roslyn Place	Shadyside	A historic street made entirely out of wood blocks.	C
94	95	Color Park	South Side	A small parklet on the river trail in South Side full of colorful graffiti.	C
95	96	Fineview Lookout	Fineview	One of the more popular public lookouts in Pittsburgh.	C
96	97	Chatham Village	Mount Washington	A historic neighborhood nestled away from the bustle of Mount Washington. Great for a walk around.	C
97	98	South Side Slopes	South Side	Staircase streets good for an urban hike and city views.	C
98	99	West End Overlook	Elliott	The second most popular overlook in Pittsburgh.	C
99	100	Point of View Statue	Mount Washington	A gorgeous statue of George Washington and Guyasuta meeting in the region, with a great skyline view (just steps from the Duquesne Incline).	C
100	101	Pittsburgh Botanic Gardens	Oakdale	A paid, outdoor botanical garden with many themed zones to walk around.	C
101	102	Rodef Shalom Biblical Garden	Shadyside	A small garden in Shadyside with Biblical verses and plants.	C
102	103	Flight 93 Memorial	Somerset	Visit the memorial for the Flight 93 crash in Somerset County from September 11th.	C
